gene,gene_name,log2fold,p.val,p.adj,pairwise analysis
TRINITY_DN7027_c0_g1_i1,btf3l4,0.05865372,2.43E-09,6.66E-06,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN70770_c0_g2_i1,mta3,0.2174426,0.00010421,0.04936307,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN7132_c0_g1_i2,tulp4b,0.01067726,0.000105051,0.04936307,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN7189_c1_g3_i2,dazap2,0.02088298,2.58E-21,4.36E-17,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN7860_c0_g2_i1,cplx2,-0.02150629,2.67E-05,0.01863199,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN7866_c2_g2_i1,hsp90aa1.2,0.05877052,6.22E-08,0.000116421,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN787_c9_g1_i1,r3hdm1,0.08674559,6.18E-06,0.005940035,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN788_c0_g1_i2,azi2,-0.04678947,1.49E-06,0.001827832,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN8222_c0_g4_i1,si:ch211-194b1.1,0.07852683,2.32E-05,0.01660521,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN8291_c0_g1_i1,ptx3a,-0.1978072,1.60E-06,0.001941394,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN837_c3_g2_i1,mprip,0.04667159,2.69E-12,1.32E-08,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN867_c1_g1_i2,fam168a,-0.02820002,2.59E-12,1.32E-08,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN8708_c1_g1_i1,cntn2,-0.07614182,0.000104787,0.04936307,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN876_c2_g1_i1,uqcc2,0.02553145,0.000101918,0.04906372,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN87_c1_g2_i2,sub1b,0.07717256,8.45E-09,1.93E-05,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN89156_c1_g1_i1,eif4a1a,0.006767233,8.31E-15,5.76E-11,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN9511_c0_g2_i1,smu1b,0.08104993,3.03E-09,7.93E-06,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN9731_c0_g1_i3,napab,-0.2708774,6.56E-06,0.006241521,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN973_c3_g1_i1,serpinh2,0.08433034,1.63E-07,0.000262704,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN9848_c1_g1_i1,rsl24d1,-0.04264947,1.90E-07,0.000298209,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN804_c0_g1_i4,ACTN4,0.243207,0.00037869,0.04604998,C-LCvsHW-LC
